score,deltaLkRoad,deltaDjRoad,deltaTotalJobsCreated,LBar,gameState0,gameState1,gameState2
-992.75806,11464.282,529.08716,1000,28.256308,-7481,7904,8287
-992.75244,8591.174,338.85123,563,37.581703,-8137,-8138,8155
-992.74365,5301.695,346.7395,1000,13.041347,2265,2266,-2328
-992.7432,9736.191,560.49927,1069,22.402197,-8337,8338,8363
-992.7391,9018.668,753.4813,1667,13.299608,8354,-8390,8393
-992.736,11431.533,914.5143,1954,14.375732,8325,-8335,8387
-992.7181,13328.247,445.43857,1000,32.67006,3622,3623,-5567
-992.69476,19058.889,879.07623,1953,23.84426,8101,-8102,8282
-992.6811,53.484886,16.871073,-2,65.21973,7688,-7689,-8271
-992.6758,23515.9,1125.7625,3000,19.103056,5712,5713,5753
-992.6617,30218.373,1457.1886,3000,24.500698,2412,2413,5635
-992.6597,2587.6597,127.84299,394,15.970616,8303,-8304,-8310
-992.6516,7893.3657,647.11646,1604,11.953409,8352,-8354,8388
-992.6408,18896.588,1120.911,3000,15.277641,2428,2429,5650
-992.6208,31342.129,1284.7357,3000,25.271057,8080,8281,8322
-992.60547,218.2108,-4.4711485,-52,10.12949,-7866,7867,-8310
-992.5861,13041.59,688.5933,1634,19.215763,-4406,4407,4926
-992.5806,13387.621,669.0346,1815,17.745308,-8132,8296,8304
-992.57764,23292.977,1157.9382,3000,18.671833,8364,8377,8434
-992.5759,5524.796,407.80606,1000,13.283049,-8197,8198,8350
-992.5648,20694.564,1403.2002,3000,16.560287,412,413,4866
-992.5373,10128.261,376.9055,1000,24.224998,7672,-7673,8151
-992.5203,27730.566,1327.7316,3000,22.058681,3429,3430,4653
-992.51843,23088.158,1489.8956,3000,18.361082,7799,8100,8289
-992.5172,9514.805,484.37607,1000,22.69665,-8320,8321,8406
-992.51544,1790.7529,-39.984108,44,97.060486,-7417,-7934,7949
-992.51465,10816.04,605.65717,1622,15.901239,8102,-8124,8299
-992.5093,9951.022,428.92798,1000,23.712101,-7620,7621,8406
-992.50415,13539.058,618.6018,1354,23.810757,-7333,8069,8396
-992.49744,13862.522,1220.5178,3000,10.993471,1835,1836,1892
-992.4968,9740.854,754.74255,1482,15.636078,-8121,8122,8321
-992.4948,16500.842,1224.1382,3000,13.081233,7483,7484,7907
-992.48206,8154.5303,480.37222,1000,19.360903,-7889,7890,8301
-992.48175,30518.1,1474.9702,3000,24.151413,8291,8292,8425
-992.472,26286.898,1009.3329,3000,20.775955,4426,4427,4773
-992.47015,11065.003,812.1909,1744,15.039825,8130,-8131,8332
-992.451,7827.8105,506.2005,1192,15.527344,7482,7483,-8218
-992.4453,8712.096,217.81358,577,35.67437,-8220,-8329,8376
-992.4256,11823.014,475.51215,1000,27.861414,8153,-8154,8177
-992.4155,8989.48,499.42868,1000,21.156084,-8377,8415,8428
-992.39777,29880.348,838.03107,1433,48.957817,8383,-8384,8428
-992.3906,11413.519,755.9388,1732,15.4578,-8136,8137,8340
-992.3905,10552.259,253.05814,1000,24.752283,4877,4878,-6785
-992.37494,11293.975,392.695,1000,26.438002,-8340,8341,8376
-992.3697,9107.307,763.43195,1748,12.187908,7899,-7900,8323
-992.3012,11427.975,476.22412,1000,26.495466,6211,6212,-6293
-992.2965,7224.701,451.72794,1000,16.740038,-7797,7798,8302
-992.28705,17304.49,1100.0223,3000,13.348827,2698,2699,5140
-992.26843,15580.288,1285.8877,3000,11.989791,7522,8343,8357
-992.2681,9982.018,401.91562,1000,23.043938,-7542,7691,8420
-992.2678,14438.996,1170.6473,3000,11.110603,7576,7582,7591
-992.2639,11835.939,969.43414,1774,15.394013,8335,8336,-8391
-992.25806,8448.52,594.3576,1567,12.430406,8108,8109,-8308
-992.2526,16926.6,655.68567,1000,38.997795,5287,-6013,6390
-992.24146,21564.422,1281.9478,3000,16.537098,8290,8339,8351
-992.2406,21821.26,770.0383,1000,50.196983,7446,7447,-7556
-992.23834,30349.586,1570.6543,3000,23.264906,1418,1419,3865
-992.2338,10655.05,611.7815,1180,20.753485,3058,3059,-3104
-992.2165,13706.584,600.1662,1619,19.414711,-8356,8404,8406
-992.1962,6212.6704,398.37506,1101,12.906585,-7609,7610,7689
-992.1785,5435.5244,397.58795,1000,12.404466,7890,-7891,8192
-992.1687,9967.273,541.3544,1054,21.553944,-8369,8370,8430
-992.1642,13458.25,638.78125,1810,16.937563,7973,-7974,8184
-992.1327,16459.08,1221.5973,3000,12.447514,8079,8080,8354
-992.12445,8929.515,463.2647,1000,20.238169,8328,-8345,8428
-992.0828,4098.571,143.4494,536,17.239353,-8298,8299,-8352
-992.07684,7307.904,358.08234,1000,16.463318,7622,-7623,7721
-992.0515,9831.362,776.29614,1622,13.611386,8123,-8124,8391
-992.03925,806.267,155.39069,121,14.940398,-8099,-8121,8317
-992.016,11916.521,750.6573,1374,19.38947,8301,8302,-8403
-992.01483,21755.973,1297.7032,3000,16.210522,7655,7656,8127
-992.0109,14384.05,630.35266,1573,20.430637,8282,-8283,8305
-992.00037,16160.161,1333.6041,3000,12.019258,7866,7867,8390
-991.9874,2473.2012,95.87307,299,18.4264,8135,-8136,-8308
-991.97864,10758.93,646.0138,1173,20.410229,520,521,-702
-991.9684,2285.031,49.5657,321,15.820063,-8298,-8299,8404
-991.9589,13720.273,1233.3762,3000,10.1520195,7855,7856,8355
-991.95654,13957.583,744.03,1386,22.347494,7853,-7854,8370
-991.9559,15682.207,1222.4498,3000,11.599326,7889,7890,8396
-991.92584,7544.218,323.11026,1064,15.674725,7659,7660,-8105
-991.92554,15242.788,1337.9316,3000,11.231957,7827,7828,8326
-991.91376,16600.156,690.5706,1573,23.294983,-8283,8284,8402
-991.90906,20217.154,1403.0652,3000,14.867041,7074,7075,7139
-991.8675,10363.93,571.91693,1619,14.050092,8093,8094,-8356
-991.8599,22652.7,1484.4551,3000,16.557499,359,360,6225
-991.8521,2228.3096,62.69579,191,25.55759,8375,-8416,-8430
-991.847,18810.615,653.9906,1000,41.182148,-8238,8239,8404
-991.8408,23994.037,718.9108,1226,42.81462,8305,8383,-8395
-991.82855,9543.749,525.3713,1241,16.79861,-7873,7874,8138
-991.8031,2670.6726,-59.01907,-93,62.53362,-7609,-7610,7974
-991.79224,9354.046,751.42145,1773,11.473324,8098,8099,-8303
-991.7828,18191.744,1325.864,3000,13.172061,7481,7482,8107
-991.7734,14624.04,758.711,1889,16.7973,-8306,8307,8402
-991.76874,12943.876,279.1451,1000,28.068806,5053,5054,-6783
-991.7673,12675.034,642.28687,1481,18.555655,7499,7500,-7541
-991.76434,13180.01,568.6497,1000,28.565546,-8210,8211,8287
-991.7598,6415.208,488.8209,1000,13.896314,-8210,8215,8360
-991.7584,13365.034,815.6366,1787,16.197954,7826,8106,-8346
-991.75146,6899.396,356.38617,1000,14.930008,8303,8304,-8425
-991.7444,17529.158,1327.6877,3000,12.633264,8306,8320,8359
-991.73303,4536.8843,149.991,314,31.196426,-7879,-8313,8407
-991.72974,2848.652,91.722786,222,27.694363,-8363,8364,-8390
-991.69696,6670.2383,546.90784,1000,14.339366,8330,8331,-8385
-991.6824,19550.764,1415.5599,3000,13.985153,234,235,404
-991.67834,11080.886,526.72174,1435,16.562874,7660,7661,-8119
-991.66437,9221.15,570.24243,1140,17.320673,581,582,-714
-991.6574,8659.916,712.07263,1604,11.551366,-8354,8359,8391
-991.6559,27166.145,1355.6866,3000,19.37101,8369,8370,8425
-991.6421,7155.868,623.93427,1000,15.28229,591,592,-6322
-991.6271,16050.048,785.903,1881,18.190075,-7657,7658,8366
-991.627,10953.833,495.6203,1000,23.351202,8364,8365,-8408
