idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9
41,-408.90283,10,0,0,376130,0,0,145.40445,0,0,1083595,-2351.0685404288843,-626.790258183962,2977.858800339451,-36701.00169399982,-8174.36576229795,134326.82579002614,89.75482,284.9804,   4031,2941,   715,739,   787,154,   7556,7994,   4122,4120,   
42,-549.9662,10,0,0,388915,0,0,131.14853,0,0,2438233.2,-2561.484248314346,-777.0180055164877,3338.502253046391,-45899.662030744024,-9140.514424574485,147065.20833005643,83.45906,217.88028,   4812,3611,   4459,301,   996,1354,   1855,1823,   3060,1163,   
43,-492.32108,10,0,0,533941,0,0,136.17735,0,0,2798741,-2393.8050958015147,-764.4694641677231,3158.274559798996,-37403.17301721868,-7192.814255068892,120049.81279162302,75.97313,99.298935,   6524,6553,   4304,4347,   4199,3212,   461,752,   774,909,   
44,-419.10992,10,0,0,590550,0,0,173.88399,0,0,1934110.5,-2894.933346238849,-1093.5537561997637,3988.487103010656,-48296.767978871634,-12360.140737929478,155143.0065857806,115.23652,321.7527,   7330,8032,   4908,4932,   3050,1170,   2478,2253,   1247,4220,   
45,-2274.6294,10,0,0,1316886,0,0,146.88773,0,0,3947116.5,-10612.447877244802,-2703.0496003118205,13315.497479925347,-180619.87798489418,-30729.418196571507,719409.9439892259,79.40629,307.53497,   2756,2714,   5831,5805,   1045,979,   693,605,   7295,7283,   
46,-122.82961,10,0,0,200192,0,0,178.3692,0,0,572337.8,-681.6770828868703,-363.7048923905651,1045.381975091393,-11337.722610797136,-6637.829551658592,26855.944461976425,92.304474,294.883,   2554,2597,   7691,7603,   5362,3754,   7080,7104,   1234,5954,   
47,-244.71988,10,0,0,316137,0,0,166.88907,0,0,896350.2,-1534.0586631075396,-429.9843746609836,1964.0430384352833,-25980.06232733402,-3927.1716574195434,90429.9460551721,106.16245,236.9031,   686,309,   6021,5994,   6636,2243,   4617,3546,   7369,7365,   
48,-629.36066,10,0,0,1669722,0,0,127.734,0,0,2478533,-3234.2000260100162,-1273.1724540251926,4507.3724820840625,-51614.106216023116,-16317.449780729256,223431.81737444858,82.010376,227.09529,   1888,1792,   1310,1289,   6161,6133,   2567,2550,   3341,3351,   
49,-370.9764,10,0,0,109987,0,0,236.58228,0,0,480139.12,-2482.22067212399,-581.7457374800143,3063.9664092546286,-42737.72798901951,-6430.469970910177,111473.982695123,115.203354,150.37704,   1619,1766,   6369,6586,   3689,3272,   702,297,   7001,7067,   
50,-326.16397,10,0,0,259840,0,0,188.74033,0,0,610298.8,-1762.7837244843327,-616.8538139548118,2379.6375376293986,-28479.458115251928,-6636.422220427181,94678.83308800533,87.31638,214.33893,   2186,2242,   7790,7853,   7002,6958,   2908,6672,   5877,2954,   
