idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
41,-942.7495,20,0,0,4428120,0,0,305.0881,0,0,19608854,-11612.51777493218,-4778.606285320956,16391.124069646587,-196156.92324407163,-76986.26106139104,1012266.7027138665,208.06897,203.63821,   3573,4724,   1927,6586,   5548,3480,   4087,1710,   7754,7715,   6006,4061,   4483,4490,   5511,5522,   7184,7011,   290,162,   
42,-1277.859,20,0,0,2541231,0,0,275.82065,0,0,6605313.5,-9144.619728168658,-2833.020590390304,11977.640320781327,-152615.65666544306,-39242.09805344623,468960.30293459573,119.43075,252.8317,   1868,1856,   6126,6111,   6071,4049,   3214,4195,   539,169,   1527,5087,   1038,6771,   7600,7702,   12,461,   3541,4658,   
43,-738.48346,20,0,0,1157682,0,0,371.14798,0,0,3918871.2,-7392.487093904362,-2169.769457916609,9562.256548189594,-126935.42921422985,-23572.977608470643,518176.77120241185,171.88663,215.88406,   8238,8237,   1178,3097,   137,37,   1434,3882,   5667,5665,   2928,2873,   2120,2024,   4520,6145,   1467,2658,   1879,1251,   
44,-848.483,20,0,0,1239482,0,0,255.05711,0,0,3132043,-7179.869200207976,-1896.4513468143593,9076.320542966067,-123769.86566177542,-17995.634930715565,394726.6583133732,145.87195,240.79889,   5924,5929,   568,902,   3171,4157,   2702,5139,   7591,7535,   4636,4603,   6229,585,   1373,1317,   2652,1037,   4062,5703,   
45,-1021.2797,20,0,0,1743148,0,0,262.2805,0,0,6864368,-8768.508098302711,-2504.0402852827824,11272.548380088729,-155374.740863757,-29492.05815376426,512961.0328970623,152.1373,221.02605,   4069,5232,   7912,8093,   6734,3251,   5478,5482,   3843,6052,   3421,478,   1564,1504,   95,161,   5588,1828,   1487,1450,   
46,-397.03705,20,0,0,498230,0,0,282.91116,0,0,1938160.4,-2949.777633428391,-924.2792594479379,3874.056896309415,-53392.68667986231,-12033.953356822805,158629.9622453736,134.47784,276.86407,   6022,3887,   8066,8054,   7876,8347,   3335,5038,   985,973,   5526,3470,   2100,2170,   4410,4366,   7903,7916,   8227,8227,   
47,-645.5107,20,0,0,2813004,0,0,431.33966,0,0,11451823,-7401.981845166094,-2555.6192422090967,9957.60108753238,-126617.35625386669,-37615.021204658646,623486.4759086192,196.15068,269.98044,   1365,1309,   710,6642,   5638,2267,   2176,2024,   2611,2554,   6994,7054,   8415,7690,   8195,8323,   4798,493,   5458,5479,   
48,-1645.5751,20,0,0,3933455,0,0,369.0536,0,0,15489786,-17515.54638287757,-5311.83145923616,22827.37784832006,-293867.78678937623,-81894.89999035916,1380353.6671394533,178.5806,261.93228,   5498,5788,   6130,6116,   2330,2330,   184,747,   7522,8311,   1391,1028,   3295,4946,   364,275,   4604,6695,   7841,8120,   
49,-688.9256,20,0,0,930435,0,0,323.0393,0,0,6012921,-7117.822092820313,-2469.1369511070534,9586.959043492694,-135143.42736074547,-42476.46573108564,608526.5270517644,196.16548,182.93407,   5447,5379,   5238,2879,   1814,4223,   20,6645,   4774,4781,   5134,2338,   7082,7022,   5711,4025,   6329,5258,   5840,3406,   
50,-555.8529,20,0,0,842188,0,0,313.54095,0,0,3030004.2,-6267.646755838569,-1697.5258791118358,7965.17263525011,-106825.35399132216,-19461.02319382548,327986.6049348037,192.18277,197.8237,   2167,2173,   3646,3658,   7558,7714,   4704,3442,   1968,5987,   2585,2608,   3462,6680,   2099,2189,   825,786,   1655,1700,   
51,-1145.4827,20,0,0,821158,0,0,276.65347,0,0,4814724.5,-9916.373521168414,-2769.866558145437,12686.240075763333,-174816.79443210285,-32518.81750261377,740672.0471909462,152.61409,217.58435,   3400,3370,   692,232,   1900,1886,   2836,2830,   1438,1459,   4106,4160,   2491,2459,   3358,80,   5392,5384,   1348,1350,   
52,-596.9999,20,0,0,1183648,0,0,264.8875,0,0,4079325.5,-4870.732767772836,-1552.2532108805408,6422.985975409305,-92570.20120234434,-18893.873591597454,326908.8267643935,155.059,221.33624,   1257,4570,   6235,6326,   3071,1158,   1572,3854,   7017,7002,   2911,2884,   4020,2870,   7253,7214,   4452,334,   2112,2083,   
53,-417.7783,20,0,0,918353,0,0,302.23465,0,0,2407609.8,-4499.9639708821505,-1574.3895262247777,6074.353492303669,-69916.95784397228,-14838.000038824288,260124.07063509087,167.35422,342.29214,   2674,1097,   8263,8051,   2089,2129,   2410,2496,   5010,3334,   7938,8015,   4310,4345,   3546,4619,   2615,2577,   7229,7215,   
54,-380.11722,20,0,0,714336,0,0,293.71603,0,0,3167962.8,-3680.5637266453464,-1658.1261861015876,5338.689915535328,-59483.4493641427,-18616.089389783785,235165.39442698832,156.48712,280.2837,   3220,4185,   4033,1663,   2151,2117,   3343,3318,   6806,6798,   4285,4298,   7549,7995,   2065,6377,   7363,7641,   4924,4982,   
55,-987.3209,20,0,0,1750546,0,0,315.57434,0,0,8656174,-9056.522264071256,-3082.99300453007,12139.515276112317,-172361.0875774727,-35626.46553644881,675826.085954075,174.57454,253.82092,   6257,630,   2139,2205,   1314,1108,   4795,4741,   5925,3105,   7571,7579,   2987,2225,   7981,8211,   6492,6516,   3190,4679,   
56,-480.33643,20,0,0,986759,0,0,307.36755,0,0,3130800.5,-4671.319748327023,-1376.185994706361,6047.505742384355,-86453.36491762799,-20161.011881121267,287734.1750298632,179.98503,261.9558,   312,116,   7903,7883,   5947,5945,   486,924,   3286,4758,   5717,4029,   5625,5656,   3846,6872,   1983,6556,   7743,7763,   
