score,depth,netChgRoad,netChgBus,netChgRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,
-22.622017,20,0,0,22314737,0,0,638943740,-3776.2713476343024,-1441.5293057057534,5217.800653045226,-65292.129991341884,-29897.22997631857,1897088.758866269,2886.2205,262.68152,   2202,6364,   4446,7346,   7814,1648,   2781,880,   3505,4655,   5233,6503,   2455,5941,   587,1918,   605,2829,   7927,344,   
-19.23262,20,0,0,9155701,0,0,235414940,-2887.1103460920945,-1194.9916028460002,4082.1019486983937,-46346.5958000023,-17769.932492836346,1080312.9343692637,2409.791,245.92343,   1764,6592,   3750,3641,   5730,459,   1787,1863,   2453,4118,   7946,6045,   4317,2423,   5855,7196,   214,7149,   1660,6219,   
-9.270496,20,0,0,16229494,0,0,544156030,-1457.3501859672915,-544.0101026524837,2001.360289822204,-24730.74445389432,-7682.179924032206,456418.1470276344,2667.6829,232.5509,   1989,2174,   4871,3851,   1259,2729,   4546,2667,   3475,6146,   5184,4167,   7541,6297,   4338,4045,   2614,804,   1616,7354,   
-27.96563,20,0,0,27692660,0,0,912496900,-4936.48434908695,-1498.167677431099,6434.652026849649,-82253.61020532848,-14809.237823257674,1614296.566035581,2941.2393,260.49377,   8297,918,   6863,7823,   5144,7624,   2185,31,   86,1826,   1704,1892,   1169,1708,   6791,8025,   1721,8335,   2382,3001,   
-7.7717657,20,0,0,18239668,0,0,720482800,-1410.9267540875148,-653.8739046186079,2064.8006582754374,-23952.63539820422,-10593.674771061733,594808.6369787423,3082.0068,257.91898,   4349,7556,   6823,4743,   7369,3778,   6939,6455,   6521,1810,   4582,7845,   5533,2741,   6358,1070,   3747,5483,   7142,2070,   
-124.48206,20,0,0,11626473,0,0,276593950,-12142.140957543135,-5602.086544677139,17744.227501159276,-239975.15487418068,-102520.14122496525,3106966.703320585,1927.7891,216.19104,   543,4514,   2581,1649,   4441,3292,   2998,5833,   7941,4748,   2324,2714,   6858,7050,   3005,740,   2530,2119,   454,1365,   
-9.399474,20,0,0,7481684,0,0,212972030,-1186.8248616655364,-556.6276655740658,1743.4525261070587,-24164.39649808542,-9498.881642968336,465416.58558178425,2570.8242,241.70737,   685,4166,   1946,6712,   5679,2295,   4795,6863,   3785,5721,   4278,4673,   1192,311,   2458,8270,   4974,5174,   301,4077,   
-6.8783307,20,0,0,8334847,0,0,228872140,-1159.212310452961,-327.9382084174029,1487.1505188168503,-19661.192570950592,-3409.6318166864908,658351.7088432676,2858.425,274.82727,   779,1105,   6949,1772,   7921,1867,   987,6918,   8171,5617,   6976,1627,   5029,5777,   1385,4812,   2568,4305,   4405,2146,   
-31.030865,20,0,0,23375754,0,0,781588100,-4782.367480317888,-1711.500652060285,6493.868130604528,-83573.93427334266,-22222.417896956456,2086837.0996908087,2693.252,261.572,   6932,4571,   2047,2220,   469,6086,   1522,6546,   4591,3171,   4202,5791,   1818,4812,   585,8016,   5652,173,   7226,3811,   
-14.53503,20,0,0,25926010,0,0,737461400,-2616.485421769446,-927.123117090087,3543.6085394340907,-42214.08967275908,-10050.977616016706,982688.430295935,2904.3,254.95137,   1308,6312,   7127,6604,   7180,2651,   8079,3851,   7362,6081,   5702,669,   768,6591,   5580,4644,   7493,4729,   1302,1835,   
-102.78108,20,0,0,11038678,0,0,190412940,-13374.51088983985,-3821.669839720966,17196.18071024188,-219540.21835771616,-53827.75790486562,3185721.0406306256,2135.9983,237.86617,   345,2876,   2326,5000,   1415,1184,   8245,216,   5191,1804,   7596,2394,   5514,594,   838,620,   5879,3879,   3476,6254,   
-13.740664,20,0,0,8436435,0,0,284293660,-2175.595135463308,-566.1415004454093,2741.736635858945,-37307.12895241297,-8203.400177735317,237564.34349538834,2715.0894,269.90036,   6442,6107,   7620,6945,   5904,3532,   5022,3662,   7668,4376,   522,923,   7306,5391,   3466,6867,   3985,2127,   5188,5995,   
-31.858917,20,0,0,24702698,0,0,890316200,-6674.201032565188,-2195.3854517182676,8869.58648673496,-92302.58861817572,-18647.826888905685,1998115.8675871505,2897.2292,268.72943,   2841,7863,   7095,5557,   6921,3307,   3590,174,   5752,4959,   7201,3613,   1252,3484,   3828,2674,   3691,3816,   7531,6319,   
-70.48165,20,0,0,16148550,0,0,324026050,-8667.487923953055,-3277.437183756562,11944.925112317638,-135256.96259839754,-34082.32743302596,2209870.6789378338,1919.0381,200.72818,   4598,4582,   984,814,   1281,6672,   3523,123,   5563,2406,   5070,3751,   7126,5916,   3413,7015,   7447,2062,   24,2597,   
-4.606836,20,0,0,23759354,0,0,851723140,-965.9722664703787,-384.34826589782574,1350.3205324071218,-14622.138579086197,-4217.447344492318,589040.0808652339,3174.009,260.57578,   8377,4847,   6345,2708,   5611,5345,   8106,3822,   1563,792,   3176,169,   3031,7305,   1397,6695,   6878,6280,   4276,249,   
-40.714764,20,0,0,18102761,0,0,565261700,-6328.1917840199485,-2233.065302454651,8561.25708822242,-101933.44692203758,-31828.604372603757,2431886.775208391,2503.599,221.86732,   8219,3467,   3047,3346,   8325,3449,   4922,3772,   70,5248,   3662,1629,   3792,4934,   6377,8186,   6672,6711,   3639,4372,   
-4.494671,20,0,0,14632622,0,0,564017500,-1058.2960706277208,-586.7217389904649,1645.0178085631621,-16196.306147409461,-15452.504106061755,498852.87635795015,3603.4463,285.30725,   7001,8136,   6996,4771,   7666,4901,   720,8257,   4519,5154,   136,1167,   6222,8210,   2813,4909,   1800,2999,   2819,2161,   
-90.21128,20,0,0,28736133,0,0,715286800,-7884.683093438273,-2986.0100967546714,10870.693187815341,-138808.9788211952,-52556.80983414256,3190612.217227882,1538.7098,180.57304,   422,4334,   3751,4750,   5566,1546,   4812,6533,   927,1647,   22,167,   2641,8339,   1683,82,   4907,6711,   4115,3423,   
-48.242958,20,0,0,11834926,0,0,434320640,-6408.479619788645,-1986.6158189459259,8395.095438297503,-108839.13650074274,-21367.303153104498,1492531.0614474528,2256.0625,222.01653,   2729,5101,   7689,3352,   5111,2495,   3842,4018,   2120,1468,   6385,3672,   3891,1478,   3949,2667,   4385,2245,   7641,6119,   
-19.65692,20,0,0,22615770,0,0,727734700,-3820.278013600535,-1550.1442562913203,5370.422271327687,-60254.70217888816,-15881.974304592057,1180506.2547680812,3065.3176,311.07916,   89,2623,   7329,2871,   5131,8405,   6961,6318,   6527,2731,   2,3525,   7320,7831,   7868,3757,   5080,398,   8075,3070,   
-42.632935,20,0,0,15331530,0,0,540575400,-5696.4766289824,-2965.715401680811,8662.192028245701,-111854.2861942229,-60406.436858650086,1565507.1177317689,2623.6592,241.81036,   6139,794,   4412,7895,   3697,4785,   4712,1163,   4390,7451,   4133,2661,   7505,6431,   3334,105,   6207,4817,   6657,5142,   
-34.9203,20,0,0,22800136,0,0,1.0630189E+09,-5963.012984422145,-2191.4197412158937,8154.432725307804,-101730.88512176735,-28971.67516365245,2155877.825565607,2913.2305,286.76962,   3969,5960,   5926,7825,   1465,2860,   4788,4495,   2045,192,   6022,3986,   2606,4570,   8415,7730,   6646,7870,   7610,346,   
-58.841034,20,0,0,23442254,0,0,1.0120127E+09,-7484.927451458466,-2711.0792681472003,10196.006716890926,-126031.1746797826,-34691.63145984894,1833337.3369953753,2141.8926,230.49821,   3692,5798,   1928,7511,   7033,5776,   4455,888,   4497,7762,   5985,263,   2177,2932,   7537,179,   3303,5023,   6429,837,   
-25.256336,20,0,0,17161262,0,0,751232900,-4638.944588224451,-1514.282806607434,6153.22739501593,-73069.5600969462,-16891.051719359417,2043303.178708794,2893.1182,236.67075,   8432,216,   7553,4197,   1429,147,   55,2935,   6452,4039,   1894,6773,   5642,6310,   1449,6607,   4031,6851,   791,4125,   
-88.905205,20,0,0,10785925,0,0,211246510,-9903.706597724638,-4744.694380882596,14648.400980089624,-181014.4677666968,-85276.22810896828,2057444.9556161168,2036.0391,253.75906,   6840,3900,   8434,2719,   2643,5759,   1808,8109,   5469,8236,   4427,1623,   1440,6773,   349,3476,   6681,6167,   6082,6886,   
-35.097477,20,0,0,14986290,0,0,356436000,-4490.394885917383,-1366.2111078562862,5856.60599389343,-75020.85004133178,-14894.820407010873,2140507.576054283,2137.4998,225.41263,   5720,1520,   2871,457,   5867,7647,   3056,4303,   1482,930,   4583,4888,   4231,2304,   2432,4532,   217,4833,   1554,4105,   
-18.030346,20,0,0,28157609,0,0,701025600,-3283.351365601979,-903.8992357082154,4187.250602695494,-55695.61681000114,-9867.39748799679,1939560.572690469,3088.9932,267.23755,   6774,382,   5901,6652,   8048,271,   5333,7305,   5960,6409,   8362,6300,   769,2341,   6840,5319,   1028,7977,   5287,3431,   
