score,deltaLkRoad,deltaDjRoad,deltaTotalJobsCreated,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9
-0.0068813316,-20252.687557412733,-1361.8651791855432,-3338,294.3135,-3228,-4510,+5261,-6379,-6569,-7479,-7596,-8226,+8272,-8388,
-0.04835393,45969.235225016586,2656.666726160362,6000,326.89517,+31,+716,+1009,-3125,+4064,+5697,+5943,+7282,-7681,+8397,
-0.004240866,-10448.20164687815,-691.4838056713483,-980,246.3695,+738,-797,-1923,+2035,-4368,-5384,+6020,-6205,-7822,+8258,
-0.049388118,25799.57762758321,1527.7192318419698,4139,184.0451,-12,+899,+1531,+2814,+2926,-4641,+4856,+5024,-5129,+6371,
-0.024970917,19121.545407844034,867.020764432924,2652,206.58472,+385,-804,-1400,+2228,+2593,+5938,+6218,+6415,-6684,-6802,
-0.0033177861,-7290.549133529398,-32.24551862404892,-932,219.7414,+130,-653,-2066,+3280,-3842,+3859,-4344,+5674,-6081,-8285,
-0.052369487,33294.138502143265,2019.5638932364013,4735,229.44704,+551,-2096,+2883,+3018,+3075,+3166,-3338,+3615,+3716,-7586,
-0.0037965109,-10638.617809161888,-478.6573947303603,-1749,280.22095,-1594,-1841,+2140,+3040,-3268,-3668,-4129,+4691,+5401,-7773,
-0.0049564275,-12487.1772740967,-353.3880623598848,-1047,251.93909,+1139,+2774,-3014,-3253,-4421,-5000,+5368,-6521,+6905,-8080,
-0.007406121,-20992.263303290685,-1239.600833704318,-3059,283.4448,-1179,-1268,+1304,-1400,+1657,-2787,-6250,+7314,-7496,-7740,
-0.05400773,39209.267694362046,2147.298539476549,6000,236.55913,-511,+1544,+2606,+3040,+3054,+3397,+3610,+5554,-7026,+7495,
0.0008654273,1823.6718966707845,-428.07692426856437,184,210.72502,-676,-701,-1718,-2704,+3621,+4811,-5103,+5534,+6724,+7354,
-0.016796062,-33364.89219392705,-1931.3357303709513,-5136,198.64711,-194,-823,-1737,-1999,+2949,+3373,-4414,-4989,-5813,-8348,
-0.04435983,37829.80664287121,1726.1697359937007,4766,231.52443,+33,-407,+1366,+3080,+3745,+5853,-5965,+6308,+6882,-7882,
-0.008565896,-23331.36908065958,-1563.7543276796089,-3640,272.3751,+212,-1054,-1229,-2385,-3112,+6009,-6120,-6228,-6912,+7987,
-0.027558139,15129.779670050935,1145.1826187125723,2332,247.24532,+23,+1782,+2206,-2630,+3553,-5279,+6612,-7055,+7076,-7584,
-0.027239786,21295.813310631096,1258.2094314148756,4000,274.8226,+479,+1214,+1303,+1360,+3261,+5174,-7031,-7073,-7299,+8278,
-0.005119771,8878.550901228075,222.28207990634615,258,258.31943,+294,+2319,+3138,-3580,-5747,-5987,-6087,+6623,-7417,-8136,
-0.032411534,33463.28573938023,2036.9789402605913,4421,373.92984,+2449,+3221,-3930,+4472,-5518,+6262,+6857,-6900,+7635,+7788,
-0.0012431513,-3968.4010580175395,-197.77180337708953,-484,319.2211,+2631,-2725,+2966,-4328,-5526,+7059,+7343,-7345,-7444,-8275,
-0.02233299,11638.600925645313,754.6025713884601,2387,201.03636,+913,-1697,-1737,-3270,-4554,+4762,+4835,+5319,+6319,+7884,
-0.041047603,28228.12064915019,1623.2552157734376,4000,235.28932,+452,+1104,+1782,+1953,-2016,-2561,+2655,+6139,+7079,-8073,
-0.0039030272,-7568.727967966078,-169.14769372882859,140,193.91942,+37,+948,-1419,-1670,+1759,-2893,-3142,+3263,-6265,+6742,
-0.061111867,39931.92626641218,1838.3110912514644,4325,178.97676,+792,-1317,+1536,+1889,+2249,+2481,-2737,+2957,-3657,+6814,
-0.017425943,-47419.07832601425,-2568.3419394161283,-5213,272.1177,-718,-1707,-2274,-3225,+4484,-5202,-5662,-6340,-7708,+8416,
-0.012774184,15569.719091548304,544.1770269375052,1573,253.46045,-72,-1571,+1850,-1868,-2876,-2930,+3910,+5393,+6208,+6261,
-0.015458301,1049.3464334487699,567.1267175940282,896,218.28381,+266,-749,+2797,-3658,-4647,-5231,+6184,-7013,+7092,+8004,
-0.010245638,-37004.70347056496,-2419.9050484200393,-5901,361.1752,-695,-700,-944,-2133,-6124,-6989,-7090,-7431,+7969,-8261,
-0.04202166,20558.289337814538,1703.024488277423,4000,241.12982,+725,+875,+987,+1078,-1690,+3837,+4657,-4945,+6968,-7448,
-0.019482294,15090.575716785292,1033.6249386863296,2756,315.66473,-396,+1382,+3764,-4452,+5107,+5495,-5828,+7262,+7347,-7763,
-0.0035836857,-3073.4444122659324,134.1568889083669,1043,222.73387,-246,+797,+1523,+1932,-3657,-5478,+5564,+6129,-6395,-8149,
-0.011049911,5320.39503062482,537.8488507611398,0,289.6041,-584,+1150,+2958,-3255,-4178,+4266,-5352,-5936,+7551,+8310,
-0.0036581794,-9288.469901536488,-617.6696784434782,-2484,253.90962,+999,-2032,-3756,-4023,+4238,-4504,-6050,-7171,+7439,-7572,
-0.001969754,-3919.4643569096825,-938.9240758415108,-3131,198.98244,-627,+1263,-1672,-1976,-2805,+3311,+3386,-3641,-3946,-5470,
-0.0030334422,-8865.558686528862,-987.6079788340023,-2732,292.26068,-764,-796,-1908,+2149,+4647,-5514,+5876,-7526,-7681,-8364,
-0.025465837,4835.560501838669,1173.4308728697572,3123,274.15915,-971,+1827,+2573,-2786,+3081,-4392,+4580,-6493,+6993,+7855,
-0.0067072622,1332.943902320682,342.8721054537328,953,304.15155,+343,-1539,-2506,-5073,+5944,+6286,-6426,+7683,-8318,+8334,
4.1901552E-05,119.55030230636517,-334.3631135146511,-648,285.31235,+955,-981,-1657,-2552,+2994,+4577,+5816,-7681,-8025,-8348,
-0.026389072,6387.9126739341455,1049.7327698842228,2000,236.67798,-977,+1876,-2681,-5253,-5528,+5582,+7124,+7387,+7525,+8326,
-0.019192388,-25344.985921618372,-742.3973743025217,-1717,132.0575,-1380,+1936,-2972,+3891,-4827,+5533,-5617,+5988,-6020,-6696,
-0.0792923,44113.85431029318,2914.42059637987,8000,218.68774,+1166,-1735,+2026,+2127,+4157,+5193,+5334,+6580,+6797,+7712,
-0.003849751,-11057.819971299137,-623.1535594454209,-1037,287.23468,-156,-945,-1129,+1399,+3525,-4831,-5449,+7102,-8097,+8264,
-0.00079653476,-1819.806069806521,-13.109279158814866,78,228.46538,+283,-362,-2103,-3397,+5412,+5500,-5636,-6160,+6301,+7597,
-0.053472657,24904.88690000104,1534.2982870081385,2434,170.71877,+709,-1097,+1228,+2361,+2640,-4475,+4735,-5264,-5501,+6591,
-0.0017515317,-4249.471518411417,-139.5608543431489,-1218,242.61461,+196,+1224,-1552,+1702,-1934,-4063,+4622,-6160,-6577,-7439,
4.1884137E-05,2192.9273305661295,-1.8353995505657075,398,260.72592,+1282,+1373,+2008,+2054,-4671,+4825,-4923,-6205,-6325,-7636,
-0.006329409,-16937.33188896608,-671.7376563030822,-1611,267.59738,+512,-1551,+2190,+4218,-4908,-5061,-5091,+5102,-7035,-7469,
-0.0018697667,-3954.8918720914794,33.26116987362591,218,211.51793,+1358,-2425,-3092,+3747,-3961,+4084,-4118,+5217,-5664,+7388,
