score,depth,netChgRoad,netChgBus,netChgRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,gameState20,gameState21,gameState22,gameState23,gameState24,gameState25,gameState26,gameState27,gameState28,gameState29,gameState30,gameState31,gameState32,gameState33,gameState34,gameState35,gameState36,gameState37,gameState38,gameState39
-32.9179,40,0,0,42267029,0,0,1.2121198E+09,-11261.330497910894,-3042.465532744657,14303.796029536368,-193348.75722774226,-31276.39926581684,3179252.0091396254,5873.666,277.27567,   6409,4268,   2293,953,   3020,6416,   1968,8392,   694,6645,   5251,7188,   1600,977,   1960,4555,   6055,8145,   1542,7019,   7586,3805,   3935,147,   814,4113,   3363,3154,   604,1546,   7644,5226,   5938,7757,   2989,979,   7353,3767,   211,1849,   
-50.13949,40,0,0,37355560,0,0,1.05130656E+09,-16655.900628058116,-5501.953749726069,22157.854379660388,-274188.9653796163,-66832.41729159169,4997679.231827857,5468.5234,275.88623,   782,3707,   4612,1983,   6538,6051,   5064,5456,   5073,1260,   4721,2468,   7997,3478,   66,2604,   333,2145,   138,7342,   3052,7249,   7788,7583,   7436,24,   1250,2279,   6424,981,   5637,2288,   7933,8129,   6237,3879,   7628,1951,   2045,3198,   
-14.654389,40,0,0,26099268,0,0,992965500,-4757.888222645145,-1969.1750946723075,6727.06332151821,-80221.21837305295,-33709.76255279041,1304119.7629723495,5474.211,254.51114,   7484,6343,   6517,7779,   5261,5176,   5665,2459,   7690,385,   645,5208,   3628,1304,   7232,1968,   4355,5465,   2983,6513,   4801,2785,   7467,4092,   4059,2433,   2971,8303,   5676,4623,   3411,6817,   100,5376,   8294,5145,   732,8,   2322,2260,   
-50.7565,40,0,0,34523539,0,0,878588700,-12886.081502469788,-3413.90423387677,16299.9857391688,-234156.78005175435,-43874.809566904674,2324709.2226026156,4613.336,261.01447,   2795,7226,   3024,6038,   335,429,   7095,6628,   896,4268,   7960,2163,   7404,3967,   6832,4699,   7311,2424,   3720,2828,   2205,5797,   5218,3067,   5409,2264,   5108,6687,   1446,2087,   1236,4346,   3142,723,   3718,6011,   8196,1428,   3756,3629,   
-14.04387,40,0,0,21070243,0,0,776814500,-4315.302831434385,-3429.68409347819,7744.986923541797,-76114.12886553396,-128797.65573815997,1328400.0989496168,5419.74,271.83066,   3773,4778,   7406,1407,   5099,1248,   7849,4568,   6979,3594,   6269,6743,   4723,7930,   54,5434,   2007,8393,   629,6506,   3757,408,   5181,7245,   3032,3613,   7456,6681,   249,821,   4939,5882,   7103,91,   7491,5863,   6826,3811,   6404,4160,   
-29.102789,40,0,0,32145980,0,0,856807740,-10489.512073072632,-4259.150244009493,14748.662316296994,-181049.86743168454,-77106.29514481533,4825695.816972966,6221.049,277.502,   2851,540,   8143,6288,   4253,2928,   8058,3648,   668,6720,   4003,8239,   799,5686,   8308,3365,   8032,161,   6811,1485,   2228,1167,   4318,6158,   7090,387,   8075,4632,   438,2627,   7043,6632,   1988,4905,   3655,3217,   700,7329,   2991,104,   
-56.126694,40,0,0,30679779,0,0,754327170,-13387.104500801443,-3822.8246309197752,17209.929133610127,-227859.29813517537,-41866.49461350293,4736833.164426136,4059.7312,219.2735,   3991,3807,   6012,1965,   5253,5136,   5083,1417,   219,4126,   6266,6664,   5436,4918,   1932,1683,   4657,1985,   7633,3866,   3288,3425,   3209,6476,   8112,5807,   6250,4330,   2030,5090,   2664,702,   5605,6706,   5930,6856,   3591,2353,   904,1954,   
-35.867237,40,0,0,25840421,0,0,1.00855706E+09,-10498.991426482396,-4329.904319856659,14828.89574419923,-190960.38194054432,-67514.48607232753,1970447.416398725,5324.0894,273.44452,   3739,6657,   4413,4748,   4797,378,   1196,5505,   2972,1972,   6995,7150,   8131,7561,   5251,565,   597,7971,   2288,7882,   7321,752,   7823,3564,   1461,5563,   1059,7165,   7424,3511,   6528,2304,   1080,5678,   126,5067,   7448,6897,   1679,7733,   
-13.614778,40,0,0,31093528,0,0,973563300,-4610.885532129709,-1513.911689475018,6124.797221889671,-75912.17347295537,-17939.249331416922,1887005.939473376,5575.7188,265.7011,   4610,744,   1357,58,   6531,3949,   1006,6480,   1455,5365,   6259,4055,   64,1457,   3069,2986,   7270,849,   3287,7669,   7755,2467,   6517,7897,   3880,4691,   6069,2453,   7434,184,   1553,2136,   6291,2990,   3271,6576,   7831,7765,   5469,5947,   
-13.814427,40,0,0,28024724,0,0,737597630,-3846.4007401956505,-1328.900858716056,5175.301596648046,-66470.78653024594,-21994.796666321385,1269482.5128971632,4811.6934,234.28017,   4556,3015,   5709,2058,   5687,2472,   2240,8059,   2609,5575,   6232,6598,   3609,2446,   8414,2143,   2663,1895,   4613,1840,   6316,6989,   7481,1271,   3812,4122,   6199,5509,   6621,4928,   3591,7940,   3816,5775,   3112,4739,   5193,4458,   2209,1407,   
-6.2356606,40,0,0,24999320,0,0,728487170,-2374.9411964887136,-1069.248678198073,3444.189874013036,-35797.07888564614,-14232.147325275093,610304.2107257274,5740.7036,278.99426,   2450,6446,   8279,1859,   2387,3390,   6962,3845,   3012,1128,   3913,5936,   3151,3628,   8067,6003,   3970,4438,   6682,1565,   4709,5166,   1437,6116,   1984,6728,   2782,6269,   7769,3674,   5386,6640,   8121,3206,   7825,8305,   7145,5621,   7319,421,   
-44.521202,40,0,0,17864536,0,0,565652160,-13016.303644370695,-2866.1048293538997,15882.40847586562,-226974.3915811207,-30548.45225321247,1415712.717092148,5098.119,252.09587,   5596,2353,   2497,5493,   1014,6091,   4789,187,   6144,5545,   769,754,   6211,644,   5134,5720,   5009,2163,   8310,4094,   607,692,   4511,7773,   4177,5709,   6250,8381,   4239,8198,   7293,6784,   5554,6260,   4405,2355,   2669,4379,   5102,4329,   
-10.293057,40,0,0,24105541,0,0,1.0091165E+09,-4046.7461711154892,-1435.7579804015484,5482.504150593647,-64661.47749174849,-17014.256620965512,1804162.4010947428,6282.048,261.40494,   1939,2595,   125,2224,   2905,4632,   428,7477,   6508,2105,   3296,4982,   5746,3224,   8250,4903,   6278,3160,   1316,3741,   8277,4844,   4383,6382,   6687,2421,   3635,8387,   4675,2778,   3051,629,   5497,3981,   2155,6448,   567,2287,   4867,7981,   
